storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
"나는 OO군에서 50년 가까이 양파 농사를 지어왔다. 하지만 현재는 기계도 낡고, 비료값도 오른데다 작년 수확은 값도 못 쳤다. 요즘 같은 세상에 농사만으로는 더는 안 되겠다는 생각이 들지만, 어떻게 바꿔야 할지 막막하기만 하다.","50년 동안 해온 일이다. 작년은 운이 좋지 않았을 뿐, 올해는 다를 것이다.",지난번에 전화로 안내받은 농업기술센터 교육을 받는다.,판매 가격이 높은 신품종으로 전환한다.,"작년과 비슷할 줄 알았지만, 이미 기계도 낡고 비료값도 오른 마당이다. 결국 손해가 조금 더 늘었다.","교육을 통해 다양한 농업 기술, 마케팅 기술 등을 바탕으로 생산성이 꽤 높아졌다.","새로운 품종을 찾아서 모두 바꿨지만, 찾는 사람이 많지 않아서 큰 손해를 봤다.",4,5,2,3,2,5
"매년 비료를 뿌리다 보니, 땅의 상태가 좋지 않아 보인다.",토양을 정밀하게 분석한 뒤에 퇴비를 뿌린다.,요즘은 과학이 많이 발전했으니 비료를 좀 더 뿌려본다.,아직 큰 무리는 없는 것으로 보인다. 평소대로 심는다.,"토양의 상태를 알고, 알맞은 퇴비를 뿌리니 농사를 짓기 좋은 땅이 되었다.","이미 땅은 망가졌지만 나는 화학 비료를 계속 뿌렸고, 결국 땅 대부분이 못 쓰게 됐다...",별 생각 없이 양파를 심었다. 어쨰서인지 양파가 작년만큼 잘 자라지 않는다.,-2,0,-1,2,-1,0
올해 여름은 폭염이 긴 시간 지속될 것으로 예상이 된다는 예보가 떴다.,덜 자란 양파를 미리 수확한다.,햇볕을 막아줄 차광망을 설치한다.,작년에도 버텼으니 올해도 괜찮을 것 같다.,"양파를 완전히 자라지 못한 채 수확했다. 크기가 작아 팔기에는 어렵지만, 폭염이 지난 후 보다는 상황이 나을 것이다.",뜨거운 햇볕을 막을 수 있을 것이라 생각하고 차광망을 설치했다. 덕분에 양파는 큰 피해를 입지 않고 잘 자랐다.,"작년처럼 버틸 수 있을 것이라 믿었다. 하지만, 올해 폭염은 작년보다 더 강하고 오래 지속됐다. 양파 대부분이 병들고 말았다.",4,5,2,3,2,5
옆 마을 김씨네 감자밭 농장이 병충해로 전멸했다고 한다. 우리 양파밭은 괜찮을지 걱정된다.,병충해를 예방하기 위해 약을 구입한다.,올해 수확을 마치고 병충해에 강한 품종을 들인다.,양파와 감자가 같을 순 없다. 잘 자라줄 것이라 믿는다.,양파에 사용할 약제를 구입해서 병충해를 막아내는데 성공했다! 하지만 너무 많이 사용하지 않도록 하자.,"우선 올해 수확을 마치고, 병충해에 강한 품종을 들여보기로 했다. 물론 완벽한 조치는 아니다.",양파는 감자와 다를 줄 알았다. 해충으로 인해 양파가 점점 망가지는 중이다.,-2,0,-1,2,-1,0
한동안 폭염이 지속될 것으로 보인다. 양파밭에 물을 줘야하는데 이대로면 얼마 지나지 않아 지하수가 고갈될 것 같다.,물을 절약할 수 있는 재배 방법에 대해 찾아보고 적용한다.,평소처럼 자유롭게 물을 공급한다.,상태가 괜찮은 양파만 물을 준다.,물을 주는 시기와 양을 조절해서 양파를 키우는 데 필요한 최소 수분을 유지했다.,기존대로 물을 주니 양파는 잘 자랐다. 하지만 언제까지 물을 펑펑 쓸 수 있을진 장담할 수 없다.,현재 품질이 괜찮은 양파들이 많은 곳에만 물을 주기로 했다. 일단 어느 정도는 건졌으니 버틸 수 있을 것 같다.,4,5,2,3,2,5
양파의 도매시장 기준가가 작년의 60퍼센트 수준으로 떨어졌다는 보도가 나온다.,더 떨어지기 전에 즉시 수확해서 시장에 내다 판다.,"창고에 보관해 두고, 상황을 지켜본다.",가공 식품으로 전환을 시도한다.,"양파 가격이 더 떨어질까 겁이나서 모두 수확하고, 시장에 전부 내다 팔았다. 오르면 아쉽겠지만, 지금도 충분하다.","상황을 더 지켜보고자 했지만, 가격이 더 떨어지고 말았다…","양파즙, 분말 등으로 가공해보기로 하고, 가공에 필요한 설비를 마련하기 위해 큰 돈을 투자했다.",-2,0,-1,2,-1,0
50년 넘게 홀로 농사를 짓다보니 몸이 성치 않아 농사를 짓기 힘들다. 농사를 도울 인력이 필요하다.,인건비도 아끼기 위해 계속 홀로 농사를 짓는다.,외국인 노동자를 고용한다.,단기 알바 공고를 올려본다.,인건비 절약을 위해 홀로 농사를 지으려니 병원비만 더 나왔다. 조금만 더 젊었더라면…,젊은이들은 농촌에 잘 오지 않는다. 나는 고심 끝에 외국인 노동자를 구했다.,단기 알바를 구한다면 작업량에 따라 인력을 조절하기 수월할 것이다.,4,5,2,3,2,5
"갑작스러운 장마로 비닐하우스 천막이 찢어지고, 골조 일부도 망가졌다.","당장 급한 부분부터 임시로 수리하고, 이후 자비를 들여서 모두 수리한다.","서류 처리가 좀 걸리겠지만, 정부 재해지원금을 신청한다.","우선은 보류하고, 장마 기간이 끝나면 조치한다.","우선 임시로 천막을 덧대고, 장마 기간이 완전히 끝난 후 자비로 수리하기로 했다. 돈이 엄청나게 나가겠군…",정부에 도움을 요청하기로 했다. 빠르게 처리가 됐으면 한다.,장마 기간엔 뼈가 쑤셔서 방치했더니 비닐 하우스가 무너져버렸다.,-2,0,-1,2,-1,0
"농장 운영에 필요한 행정 서류들이 산더미처럼 쌓였다. 게다가 올해는 작년과 다르게 이런저런 앱 사용을 권장한다. 서류만 해도 혼자 처리하기엔 너무 복잡하고 어려운데, 낯선 앱 사용까지 어떡하면 좋을까?",읍사무소에 가서 한꺼번에 처리해달라고 도움을 요청한다.,지자체에서 알려준 대로 앱을 사용해 서류 처리를 해본다.,"일단 봉투에 담아두고, 다음에 한다.","앱을 하나도 다룰 줄 몰라서 읍사무소의 담당자에게 모든 서류 제출의 도움을 요청했다. 시선이 따갑지만, 그래도 해결됐다.",사용법이 있으니 집에서 혼자 해보기로 했다. 아직 서툴지만 사용하다보면 익숙해질 것이다.,서류가 너무 많아 머리가 아파서 나중에 하기로 하고 방치했다. 결국 지원금 혜택을 놓치고 말았다.,4,5,2,3,2,5
"대출 상환 시기가 다가왔다. 올해는 기후 변화로 작황도 그렇게 좋지 않고, 엎친데 덮친격으로 생산비마저 올라 당장 생활도 빠듯하다.",현재 있는 돈과 중고 농기계 일부를 매각해서 갚는다.,담당자에게 계약서와 함께 상환 연기를 요청한다.,연체를 각오하고 조금만 더 버텨본다.,"부족한 돈은 가지고 있는 농기계를 다수 매각해서 대출금을 갚았다. 신용 불량 등의 위험은 막았지만, 앞으로 농사가 걱정된다.",현재 상황이 좋지 않아서 상환일을 연기했다. 덕분에 당장의 위기는 피했다.,상환일이 지나고 버티다보니 결국 신용 불량자가 되었다.,-2,0,-1,2,-1,0
